ID,name,region
15578,RTPI,NZ
1641,Fank009,NZ
19537,Garfield,ACT
2758,Eros,QLD
1884,Kiwicha,NZ
12802,TronzZ,NSW
1852,Zonks,VIC
5900,Bringa,NSW
3726,Met,SA
3400,Sadboy,VIC
1642,Danog,VIC
11708,Rainer,NSW
2520,ft,ACT
18173,Ash,ACT
18390,sleepiiibunniii,NZ
1243,Killy,NSW
5131,Stral,QLD
4093,Feq,NSW
16892,beachnik,NZ
19595,lewdelli,NSW
4569,Cameron,ACT
3548,Razl,NZ
3655,Reagan,SA
1712,MapleMage,ACT
4127,NsaibotJr,SA
11781,Blue,NSW
4291,Chrissydawn,SA
2088,Vincent Tenia,NSW
3160,Dactyl,VIC
2813,Julian,QLD
3789,Gringle ,NZ
3758,Jack,VIC
5041,Dyco,WA
5477,Fair,VIC
5047,OlJimGrizzigsby,WA
5087,Serenity Now,QLD
4637,Daddy Ganny,VIC
5120,Dean,VIC
1551,Boduj,SA
1509,Pudge,VIC
1297,bylim,VIC
5274,Tyler51060,VIC
2887,Jabroni,NSW
4116,Jazza,SA
4054,NogatCentered,VIC
2215,Murkiri,VIC
1426,Simon,VIC
2004,Thorpenado,NSW
1722,Zua,VIC
17287,Filler,NSW
2553,Tyran,QLD
6929,Binks,NZ
1463,Dusa,VIC
5364,Jakalanche,QLD
5240,Lush,NSW
4948,Mage,WA
3955,Alex,NZ
4609,Helium,VIC
3535,Pen Ninja,SA
4343,Wulfis,VIC
4483,Pork,QLD
1809,Cerphres,NZ
16432,Yes,WA
5168,Pattata,QLD
5404,LF222,TAS
1470,Crimson,QLD
5425,hambo,QLD
5393,Breadstick,TAS
3825,Butch,SA
3951,Tuke,WA
3698,Marlon,NSW
8127,OJ,NSW
19212,Levron,NZ
4432,Troy,VIC
19819,Rabbit,VIC
4361,GBZY,NSW
4236,Lan,VIC
4201,Juno,NSW
2444,Joey,ACT
1669,Bigfatelli,QLD
3603,Pres,VIC
19775,Fake Gucci Sandals,VIC
5048,Spax,WA
5752,PGA,VIC
5475,LooseGoose,VIC
15053,Spoo,NZ
1510,Lincoln,VIC
15136,Fiskit,VIC
5382,Sharp,TAS
18966,Chief,NZ
2571,Boopleshank,TAS
4482,Jonti,NSW
4295,Fergy,SA
5761,British Rice,NZ
8322,Gong - Jackson,NSW
5366,Zubola,NZ
4084,I.b.b,NSW
2071,Lachlan,NSW
1732,BLU,SA
8469,2tung,NSW
17083,Sodaman,VIC
16978,IcyK,NZ
2456,Buttsy,NSW
2095,Uber,NSW
2659,Kenlith,QLD
4139,xxx_weedsnipars69_xxx,SA
4725,Calamity,ACT
4734,Fluidity,QLD
5433,Streetsy,TAS
1474,Tears in Rain,WA
1659,Vasi,QLD
1645,jafanz,NZ
3308,Unleashed,VIC
15176,Parranoid,NSW
4246,Jake,VIC
4250,YungNess,VIC
1580,GIRL,QLD
5044,Valheru,WA
3979,chumz,NZ
3393,Daktyl,VIC
